0,1,2,3,4,5,6,7,8,9
Saquon Barkley,PHI,16,345,"2,005",125.3,5.8,13,82,72
Derrick Henry,BAL,17,325,"1,921",113.0,5.9,16,94,87
Bijan Robinson,ATL,17,304,"1,456",85.6,4.8,14,82,37
Jonathan Taylor,IND,14,303,"1,431",102.2,4.7,11,71,70
Jahmyr Gibbs,DET,17,250,"1,412",83.1,5.6,16,70,70
Josh Jacobs,GB,17,301,"1,329",78.2,4.4,15,73,38
Kyren Williams,LAR,16,316,"1,299",81.2,4.1,14,85,30
Chuba Hubbard,CAR,15,250,"1,195",79.7,4.8,10,62,38
Aaron Jones Sr.,MIN,17,255,"1,138",66.9,4.5,5,49,41
Bucky Irving,TB,17,207,"1,122",66.0,5.4,8,52,56
James Conner,ARI,16,236,"1,094",68.4,4.6,8,67,53
Tony Pollard,TEN,16,260,"1,079",67.4,4.2,5,53,41
Rico Dowdle,CAR,16,235,"1,079",67.4,4.6,2,53,27
Najee Harris,LAC,17,263,"1,043",61.4,4.0,6,50,36
Joe Mixon,HOU,14,245,"1,016",72.6,4.1,11,52,59
James Cook,BUF,16,207,"1,009",63.1,4.9,16,48,65
Chase Brown,CIN,16,229,990,61.9,4.3,7,49,40
D'Andre Swift,CHI,17,253,959,56.4,3.8,6,43,56
Alvin Kamara,NO,14,228,950,67.9,4.2,6,52,24
Lamar Jackson,BAL,17,139,915,53.8,6.6,4,47,48
De'Von Achane,MIA,17,203,907,53.4,4.5,6,37,61
J.K. Dobbins,DEN,13,195,905,69.6,4.6,9,47,61
Jayden Daniels,WAS,17,148,891,52.4,6.0,6,55,46
Breece Hall,NYJ,16,209,876,54.8,4.2,5,40,42
Tyrone Tracy Jr.,NYG,17,192,839,49.4,4.4,5,39,45
Rhamondre Stevenson,NE,15,207,801,53.4,3.9,7,40,33
Brian Robinson Jr.,SF,14,187,799,57.1,4.3,8,47,40
Jordan Mason,MIN,12,153,789,65.8,5.2,3,37,38
David Montgomery,DET,14,185,775,55.4,4.2,12,50,21
Tank Bigsby,JAX,16,168,766,47.9,4.6,7,39,65
Kareem Hunt,KC,13,200,728,56.0,3.6,7,42,20
Tyler Allgeier,ATL,17,137,644,37.9,4.7,3,43,25
Jalen Hurts,PHI,15,150,630,42.0,4.2,14,62,35
Rachaad White,TB,16,144,613,38.3,4.3,3,35,56
Kenneth Walker III,SEA,11,153,573,52.1,3.7,7,28,28
Kyler Murray,ARI,17,78,572,33.6,7.3,5,27,50
Zach Charbonnet,SEA,17,135,569,33.5,4.2,8,32,51
Jerome Ford,CLE,14,104,565,40.4,5.4,3,25,66
Travis Etienne Jr.,JAX,15,150,558,37.2,3.7,2,31,22
Antonio Gibson,NE,17,120,538,31.6,4.5,1,24,45
Josh Allen,BUF,17,102,531,31.2,5.2,12,52,30
Javonte Williams,DAL,17,139,513,30.2,3.7,4,30,20
Jaylen Warren,PIT,15,120,511,34.1,4.3,1,28,22
Emanuel Wilson,GB,17,103,502,29.5,4.9,4,27,21
Anthony Richardson Sr.,IND,11,86,499,45.4,5.8,6,34,29
Jaleel McLaughlin,DEN,16,113,496,31.0,4.4,1,25,21
Caleb Williams,CHI,17,81,489,28.8,6.0,0,27,24
Cam Akers,NO,17,104,444,26.1,4.3,2,21,58
Ray Davis,BUF,17,113,442,26.0,3.9,3,25,23
Devin Singletary,NYG,15,113,437,29.1,3.9,4,24,43
