0,1,2,3,4,5,6,7,8,9,10,11,12,13
LAC,125.2,28,36,77.8,346,9.6,2,0,13,1,10,0,0
LAR,97.0,27,41,65.9,334,8.1,2,1,16,3,15,0,0
NE,86.0,29,43,67.4,326,7.6,2,2,16,2,28,2,1
DEN,152.4,26,29,89.7,321,11.1,4,0,15,0,0,0,0
ATL,88.9,21,38,55.3,312,8.2,2,1,11,1,2,0,0
CIN,89.9,37,46,80.4,277,6.0,1,1,15,4,31,1,0
PIT,112.5,23,36,63.9,274,7.6,4,1,14,3,17,0,0
PHI,100.6,27,41,65.9,269,6.6,2,0,15,2,17,0,0
CLE,85.8,23,40,57.5,264,6.6,1,0,11,3,12,0,0
CAR,123.5,25,34,73.5,251,7.4,3,0,15,0,0,0,0
LAC,81.0,20,34,58.8,244,7.2,0,0,12,2,16,0,0
ARI,128.5,25,35,71.4,242,6.9,4,0,14,0,0,0,0
DAL,111.4,22,29,75.9,241,8.3,1,0,14,0,0,1,1
NO,85.4,26,42,61.9,240,5.7,1,0,14,2,12,0,0
DET,80.7,27,33,81.8,231,7.0,1,2,14,2,15,0,0
BAL,63.8,25,41,61.0,227,5.5,1,2,14,4,28,4,1
SF,80.9,20,32,62.5,225,7.0,1,1,10,2,19,0,0
LV,137.8,20,27,74.1,223,8.3,4,0,13,2,13,0,0
TB,93.4,21,32,65.6,221,6.9,2,1,11,1,5,0,0
BAL,92.8,16,32,50.0,217,6.8,2,0,12,0,0,0,0
LV,94.5,24,34,70.6,214,6.3,2,1,10,0,0,0,0
TEN,108.7,9,17,52.9,175,10.3,1,0,6,1,8,2,1
CLE,51.8,16,31,51.6,170,5.5,1,2,8,1,5,0,0
SEA,55.5,18,41,43.9,166,4.0,0,0,7,2,24,0,0
WAS,141.0,15,18,83.3,161,8.9,2,0,10,2,25,0,0
CHI,95.2,21,29,72.4,148,5.1,1,0,10,1,7,1,0
NYG,78.4,17,31,54.8,148,4.8,1,0,8,4,29,0,0
SEA,82.3,22,29,75.9,138,4.8,1,1,4,0,0,1,0
GB,109.8,10,13,76.9,136,10.5,0,0,4,3,21,1,1
HOU,71.8,12,22,54.5,128,5.8,0,0,4,1,11,0,0
BUF,97.5,15,21,71.4,101,4.8,1,0,6,0,0,1,0
MIN,75.1,10,17,58.8,98,5.8,0,0,4,4,22,0,0
PIT,99.1,7,9,77.8,70,7.8,0,0,3,1,8,0,0
GB,74.7,7,12,58.3,69,5.8,0,0,3,0,0,0,0
HOU,141.0,6,6,100.0,50,8.3,1,0,4,0,0,0,0
WAS,56.9,6,12,50.0,38,3.2,0,0,1,4,18,0,0
BUF,39.6,3,11,27.3,28,2.5,0,0,1,0,0,0,0
CAR,118.8,1,1,100.0,19,19.0,0,0,1,0,0,0,0
PHI,75.7,2,3,66.7,13,4.3,0,0,1,1,4,0,0
CIN,66.7,1,2,50.0,11,5.5,0,0,1,0,0,0,0
NE,39.6,0,1,0.0,0,0.0,0,0,0,1,9,0,0
LAC,0.0,0,1,0.0,0,0.0,0,1,0,0,0,0,0
NYJ,39.6,0,1,0.0,0,0.0,0,0,0,0,0,0,0
JAX,39.6,0,1,0.0,0,0.0,0,0,0,0,0,0,0
KC,-,0,0,-,0,-,0,0,0,1,5,1,0
