0,1,2,3,4,5,6,7,8,9
,IND,34,177,5.2,1,12,17,0,0
,HOU,19,176,9.3,1,5,92,1,0
,ATL,28,170,6.1,2,15,20,0,0
,DET,23,139,6.0,3,8,47,0,0
,BAL,20,138,6.9,2,5,43,0,0
,MIA,11,121,11.0,1,4,61,0,0
,SF,17,109,6.4,0,8,29,0,0
,TB,19,89,4.7,1,2,25,0,0
,GB,14,73,5.2,1,5,21,0,0
,CAR,22,72,3.3,1,4,10,0,0
,IND,20,69,3.5,0,5,8,1,0
,TB,9,68,7.6,0,3,28,0,0
,DAL,17,66,3.9,1,3,11,1,0
,NO,6,65,10.8,0,1,58,0,0
,CHI,20,65,3.3,1,4,14,0,0
,BUF,15,64,4.3,0,3,23,0,0
,BAL,9,63,7.0,0,3,19,0,0
,DEN,18,63,3.5,0,4,10,0,0
,TEN,22,62,2.8,0,3,11,0,0
,GB,8,59,7.4,0,3,23,0,0
,SEA,14,59,4.2,0,2,12,0,0
,NYG,14,59,4.2,0,2,16,0,0
,NYJ,12,57,4.8,0,3,17,0,0
,WAS,5,56,11.2,1,3,33,0,0
,ARI,4,55,13.8,1,1,46,0,0
,ATL,9,52,5.8,0,4,17,0,0
,SEA,7,49,7.0,0,2,12,0,0
,LAR,12,48,4.0,0,1,9,0,0
,CAR,4,47,11.8,0,2,26,0,0
,DEN,7,47,6.7,0,5,27,0,0
,MIN,10,45,4.5,0,1,8,0,0
,GB,6,44,7.3,1,5,12,0,0
,ARI,17,43,2.5,1,3,9,0,0
,LAC,4,42,10.5,0,2,41,0,0
,NE,12,41,3.4,0,1,15,0,0
,NYJ,4,41,10.3,0,1,20,0,0
,DET,8,39,4.9,0,1,17,0,0
,DEN,16,39,2.4,0,3,9,0,0
,JAX,14,39,2.8,1,3,11,0,0
,DAL,6,37,6.2,0,2,12,0,0
,LAC,12,36,3.0,1,4,11,0,0
,PHI,12,34,2.8,1,3,6,0,0
,LAC,12,33,2.8,1,5,12,0,0
,PHI,10,32,3.2,0,1,7,0,0
,JAX,13,31,2.4,0,3,11,0,0
,DAL,5,28,5.6,0,2,10,0,0
,BUF,10,28,2.8,1,2,7,0,0
,CLE,10,27,2.7,0,0,8,0,0
,WAS,4,27,6.8,0,2,16,0,0
,LAC,6,26,4.3,0,1,9,0,0
