0,1,2,3,4,5,6,7,8,9
Bo Nix,DEN,17,92,430,25.3,4.7,4,41,32
Drake Maye,NE,13,54,421,32.4,7.8,2,22,41
Alexander Mattison,MIA,14,132,420,30.0,3.2,4,25,24
Isaac Guerendo,SF,16,84,420,26.3,5.0,4,18,76
Baker Mayfield,TB,17,60,378,22.2,6.3,3,24,28
Austin Ekeler,WAS,12,77,367,30.6,4.8,4,19,50
Gus Edwards,LAC,11,101,365,33.2,3.6,4,17,43
Braelon Allen,NYJ,17,92,334,19.6,3.6,2,22,20
Nick Chubb,HOU,8,102,332,41.5,3.3,3,17,19
Brock Purdy,SF,15,66,323,21.5,4.9,5,33,16
Tyjae Spears,TEN,12,84,312,26.0,3.7,4,19,23
Ameer Abdullah,SF,16,66,311,19.4,4.7,2,14,40
Isiah Pacheco,KC,7,83,310,44.3,3.7,1,14,34
Audric Estime,PHI,13,76,310,23.8,4.1,2,15,21
Sean Tucker,TB,17,50,308,18.1,6.2,2,17,36
Patrick Mahomes,KC,16,58,307,19.2,5.3,2,22,33
Justin Herbert,LAC,17,69,306,18.0,4.4,2,23,41
Dameon Pierce,HOU,11,40,293,26.6,7.3,2,7,92
Trey Benson,ARI,13,63,291,22.4,4.6,1,16,20
Kenneth Gainwell,PIT,17,75,290,17.1,3.9,1,12,20
Justin Fields,NYJ,10,62,289,28.9,4.7,5,19,30
Raheem Mostert,LV,13,85,278,21.4,3.3,2,13,21
Taysom Hill,NO,8,39,278,34.8,7.1,6,18,75
Geno Smith,LV,17,53,272,16.0,5.1,2,17,34
Daniel Jones,IND,10,67,265,26.5,4.0,2,26,24
Jeremy McNichols,WAS,17,55,261,15.4,4.7,4,15,28
Bryce Young,CAR,14,43,249,17.8,5.8,6,15,34
Jaylen Wright,MIA,15,68,249,16.6,3.7,0,11,20
Zack Moss,CIN,8,74,242,30.3,3.3,2,13,16
C.J. Stroud,HOU,17,52,233,13.7,4.5,0,14,25
D'Onta Foreman,CLE,11,71,232,21.1,3.3,0,10,25
Justice Hill,BAL,15,47,228,15.2,4.9,1,14,51
Ezekiel Elliott,DAL,15,74,226,15.1,3.1,3,14,11
Emari Demercado,ARI,13,24,223,17.2,9.3,1,8,53
Ty Johnson,BUF,17,41,213,12.5,5.2,1,13,19
Sam Darnold,SEA,17,67,212,12.5,3.2,1,23,19
Blake Corum,LAR,17,58,207,12.2,3.6,0,12,12
Miles Sanders,DAL,11,55,205,18.6,3.7,2,12,26
Christian McCaffrey,SF,4,50,202,50.5,4.0,0,12,19
Joe Burrow,CIN,17,42,201,11.8,4.8,2,16,47
Patrick Taylor Jr.,SF,13,39,183,14.1,4.7,1,11,29
Zamir White,LV,8,65,183,22.9,2.8,1,4,17
Sincere McCormick,SF,5,39,183,36.6,4.7,0,10,29
Will Levis,TEN,12,45,183,15.3,4.1,0,20,21
Chris Brooks,GB,15,36,183,12.2,5.1,1,12,23
Carson Steele,KC,17,56,183,10.8,3.3,0,14,9
Ty Chandler,MIN,17,56,182,10.7,3.3,0,9,25
Isaiah Davis,NYJ,17,30,174,10.2,5.8,1,10,20
Chris Rodriguez Jr.,WAS,9,35,173,19.2,4.9,2,10,25
Kenny McIntosh,SEA,17,31,172,10.1,5.5,0,8,25
